		0		0
		0		0
ומהלו נרנה המדית ברישם משות לפב חכקום  תמרה וינ ראקד	midrash.Vayikra_Rabbah.11	1	yerushalmi.Yoma.13	1
ומש פט  וחסד ואמת ורחמים ושלום שנ וארשתיך ביומונה	midrash.Vayikra_Rabbah.21	1	midrash.Vayikra_Rabbah.11	1
מאיר או כתי וירעת את ײ ﭏהיך כל אם שיש לו מדות הללו	bavli.Sotah.9	2	bavli.Sotah.82	1
ודע דעתו של מקום  וכל המצדיק עא שומעה מנד זן אותו	minor_tractate.Avot_D'Rabbi_Natan.37	3	bavli.Sotah.9	2
מלויעלה שנ אמת מארא תה וה ליב נשקמ	minor_tractate.Avot_D'Rabbi_Natan.37	3	bavli.Sotah.9	2
אר יצחק בשביל צדק יוחד עולם ע ויא אהים את	yerushalmi.Shabbat.2	1	bavli.Berakhot.19	1
האור כי טוב  ואיך טוב אלאי של מא לצדיק כי שוב	midrash.Bereishit_Rabbah.3	3	bavli.Yoma.76	2
אר חייא אין צריק נפטר ער שבברא עת כמותו שנ הרח	bavli.Yoma.76	5	midrash.Bereishit_Rabbah.3	4
השמש ובא השמש עד שלא נבתה נו שר עלי זרחם שמשו של	bavli.Yoma.76	6	bavli.Kiddushin.144	5
שמואל הרמתי  ואר יוחנ ואת המקום שה נר אים ו	bavli.Kiddushin.144	6	bavli.Yoma.76	5
שיר ושתלו בכל דור ודור שנ כי ליי כאוקי ארן ו שת על	bavli.Kiddushin.144	4	midrash.Kohelet_Rabbah.1.5	4
תבו  ואר מחנ בשכיל צדיק אחד עולם מז יים שנ מריתי	bavli.Yoma.76	3	bavli.Eruvin.26	1
עולם ר חיא אמ מהכא אולי חמדיו ישר א	bavli.Yoma.76	3	bavli.Eruvin.26	1
חסר כ כתיב דיק יהן  מת	bavli.Yoma.76	2	bavli.Sanhedrin.206	1
אסי בר וש קפשתנ הזה כש ו	bavli.Zevachim.240	1	bavli.Ketubot.222	1
עלא ביתר למה ידוא סורע אמ	bavli.Pesachim.63	1	bavli.Zevachim.240	1
לכי שהוא משבח והולן ך  מ	bavli.Pesachim.63	1	yerushalmi.Ketubot.46	1
ליו לעמוד שנ ורשעים ת	bavli.Pesachim.63	1	yerushalmi.Ketubot.46	1
וצר הזה כשהוא ק קנ     עה	mishnah.Negaim.10	1	midrash.Sifrei_Bamidbar.103	1
מרפעמים ולמד ללא ם  דא כי	bavli.Nedarim.108	1	mishnah.Negaim.10	1
אלעמ בר אסי אין לך אדם אוהב בן א	bavli.Ketubot.59	1	midrash.Shemot_Rabbah.15	1
ארב בן חכם כמותו שנ כצדיק י ת ל	bavli.Ketubot.59	1	midrash.Ruth_Rabbah.Petichta.7	1
