בזני מוסרן למליוך ששמו דומה לשמר אותן מתים ומתגלגלין		0		0
עמן ושטיו בעולם עד שיתמלאו שנותם  אר יוחנ מניין	yerushalmi.Terumot.46	1	bavli.Shabbat.126	1
לנשמות של מתים שמספרות דו עם זו  שנ ויאמר ײ אלי	midrash.Midrash_Tanchuma.Nasso.19	1	bavli.Shabbat.273	1
את הארץ אשר נשבעתי לאבותיך לאברהם ליצחק וליעקב לאמר	midrash.Midrash_Tanchuma.Masei.4	3	midrash.Midrash_Tanchuma_Buber.Masei.3	2
אל המקום למשה לך ואמור להם לאברהם ליצחק וליעקב שבועה	midrash.Midrash_Tanchuma.Masei.4	6	bavli.Berakhot.36	3
שנשבעתי להם קיימתי לבניהם  ו והפרחון פי בערך חטף כי רוח	midrash.Midrash_Tanchuma.Masei.4	8	bavli.Berakhot.36	6
מלפני יעטף פי רוח ונשמות לפני יחלקו לגופות הנלדים  ובחלק	bavli.Berakhot.36	6	midrash.Midrash_Tanchuma.Masei.4	5
מי יפתה את אחאב רוחו של נבות לפי שהרג אתנבות בלא דין	midrash.Midrash_Aggadah.Genesis.1.26	2	midrash.Kohelet_Rabbah.1.6	2
ובלא ענן היה רוחו מחזר לפתותו ולהפילו וכתי צא ממחיצתי זה	midrash.Midrash_Aggadah.Genesis.1.26	2	bavli.Avodah_Zarah.9	1
רוחו של בבות שנקם כעסו על אחאב ויצא ממחיצתו של מקום	midrash.Midrash_Aggadah.Genesis.1.26	2	bavli.Shabbat.298	2
שנ דובר שקרים לא יכון נגד ײ  ר מני בריה דר יונה הוה	bavli.Chagigah.28	3	bavli.Sotah.83	2
מצערי ליה ביה נשיאה אזל אשתטח אמערתא דאכזה	bavli.Chagigah.28	3	bavli.Sotah.83	2
אמא חד הוה חלפי להתם אבקוט כרעי דסוסוותהו ער דקבלו על	bavli.Taanit.46	6	bavli.Chagigah.28	3
עליה דלא מצערו ליה  כת כי החיים אדעים שימותו והמתי	bavli.Taanit.46	7	bavli.Nedarim.78	1
אינם יודעים מאומה ודריש התם כצדיקי ורשעים	bavli.Taanit.46	7	yerushalmi.Berakhot.30	2
מעשה בחסיד אחד שנתו דצר לעני בערב ראש רשנה בשני	bavli.Berakhot.36	3	yerushalmi.Berakhot.30	2
בצרות והקניטתו אשתו ש והלך ולן בבית הקברות י	bavli.Berakhot.36	7	minor_tractate.Avot_D'Rabbi_Natan.3	3
שמע שני רוחות שמספרות זו עם זו אמ לה חברתי בואי ונשוט	bavli.Berakhot.36	11	minor_tractate.Avot_D'Rabbi_Natan.3	7
בעולם  אמ לה אינני יכולה שאבי מכוסה במחצלת של קנים אלא	bavli.Berakhot.36	10	minor_tractate.Avot_D'Rabbi_Natan.3	6
לכי את ומה שתשמעי בואי ותספרי לי הלכה ושמעה ואמרה	bavli.Berakhot.36	11	minor_tractate.Avot_D'Rabbi_Natan.3	7
שמעתי מאחורי הפרגוד שכל הזורע בזריעה ראשונה ברד	bavli.Berakhot.36	7	minor_tractate.Avot_D'Rabbi_Natan.3	3
