בזני מוסרן למליוך ששמו דומה לשמר אותן מתים ומתגלגלין		0		0
עמן ושטיו בעולם עד שיתמלאו שנותם  אר יוחנ מניין	bavli.Nazir.46	1	bavli.Chullin.72	1
לנשמות של מתים שמספרות דו עם זו  שנ ויאמר ײ אלי	minor_tractate.Avot_D'Rabbi_Natan.15	1	bavli.Shabbat.273	1
את הארץ אשר נשבעתי לאבותיך לאברהם ליצחק וליעקב לאמר	yerushalmi.Berakhot.30	2	bavli.Berakhot.36	2
אל המקום למשה לך ואמור להם לאברהם ליצחק וליעקב שבועה	bavli.Berakhot.36	5	yerushalmi.Berakhot.30	2
שנשבעתי להם קיימתי לבניהם  ו והפרחון פי בערך חטף כי רוח	bavli.Berakhot.36	9	midrash.Bemidbar_Rabbah.23	4
מלפני יעטף פי רוח ונשמות לפני יחלקו לגופות הנלדים  ובחלק	bavli.Berakhot.36	7	midrash.Bemidbar_Rabbah.23	4
מי יפתה את אחאב רוחו של נבות לפי שהרג אתנבות בלא דין	midrash.Bemidbar_Rabbah.23	2	midrash.Midrash_Aggadah.Genesis.1.26	2
ובלא ענן היה רוחו מחזר לפתותו ולהפילו וכתי צא ממחיצתי זה	midrash.Midrash_Aggadah.Genesis.1.26	2	bavli.Avodah_Zarah.9	1
רוחו של בבות שנקם כעסו על אחאב ויצא ממחיצתו של מקום	midrash.Midrash_Aggadah.Genesis.1.26	2	bavli.Shabbat.298	2
שנ דובר שקרים לא יכון נגד ײ  ר מני בריה דר יונה הוה	bavli.Chagigah.28	3	bavli.Sotah.83	2
מצערי ליה ביה נשיאה אזל אשתטח אמערתא דאכזה	bavli.Chagigah.28	3	bavli.Sotah.83	2
אמא חד הוה חלפי להתם אבקוט כרעי דסוסוותהו ער דקבלו על	bavli.Taanit.46	6	bavli.Chagigah.28	3
עליה דלא מצערו ליה  כת כי החיים אדעים שימותו והמתי	bavli.Taanit.46	7	bavli.Nedarim.78	1
אינם יודעים מאומה ודריש התם כצדיקי ורשעים	bavli.Taanit.46	7	yerushalmi.Berakhot.30	2
מעשה בחסיד אחד שנתו דצר לעני בערב ראש רשנה בשני	bavli.Berakhot.36	3	yerushalmi.Berakhot.30	2
בצרות והקניטתו אשתו ש והלך ולן בבית הקברות י	bavli.Berakhot.36	7	minor_tractate.Avot_D'Rabbi_Natan.3	3
שמע שני רוחות שמספרות זו עם זו אמ לה חברתי בואי ונשוט	bavli.Berakhot.36	11	minor_tractate.Avot_D'Rabbi_Natan.3	7
בעולם  אמ לה אינני יכולה שאבי מכוסה במחצלת של קנים אלא	bavli.Berakhot.36	10	minor_tractate.Avot_D'Rabbi_Natan.3	7
לכי את ומה שתשמעי בואי ותספרי לי הלכה ושמעה ואמרה	bavli.Berakhot.36	11	minor_tractate.Avot_D'Rabbi_Natan.3	8
שמעתי מאחורי הפרגוד שכל הזורע בזריעה ראשונה ברד	bavli.Berakhot.36	7	minor_tractate.Avot_D'Rabbi_Natan.3	4
מלקה  מה עשה אותו האיש זרע בשנייה  וכן עשה בשנה שניי	bavli.Berakhot.36	3	minor_tractate.Avot_D'Rabbi_Natan.3	3
ובשלישית נתגלה הדבר ואמ חברתי דברים שבני לבצך נשמע	bavli.Berakhot.36	3	minor_tractate.Tractate_Derekh_Eretz_Rabbah.5	2
בין החיים אלמא דמתים יודעים עתידות  מעשה בועירי	bavli.Berakhot.36	3	minor_tractate.Tractate_Derekh_Eretz_Rabbah.5	2
ראפקיד זודיה גבי אושפיזכניה עד דיותי ואזיל	bavli.Berakhot.36	4	midrash.Sifrei_Devarim.306	1
לבי רב שכיבא אושפי זכניה אזל בתריה לבית הקברות אל זוזי	bavli.Berakhot.36	3	bavli.Kiddushin.94	1
היבא אל שקלינהו מתותיה ענורא דדשא  ועוד מעש	bavli.Berakhot.36	4	mishnah.Oholot.4	1
דאבוה דשמואל הוה מפקדי ליה זוזי דיתמי כי	bavli.Berakhot.36	6	mishnah.Oholot.4	1
וח נפשיה לא הזה שמואל לגביה כי אתא שמואל הזה קרייה	bavli.Berakhot.36	9	midrash.Eichah_Rabbah..1	1
ליה חדי גברא דאכיל זזזי דיתמי אדל שמואל לבית הקברות אמ	bavli.Berakhot.36	9	midrash.Eichah_Rabbah..1	1
אבא היכא אמרו לו המתים טובא אבא איכא אבא בר אבא	bavli.Berakhot.36	5	yerushalmi.Ketubot.12	1
מבוה דשמוול אמר ליה סליק ליה למתבתא דרקיעא  פרשי	bavli.Berakhot.36	3	yerushalmi.Ketubot.12	1
		0		0
שנגלו לו כאילו הם מקבריהם יושבים בע גולה חזייה שמואל	minor_tractate.Avot_D'Rabbi_Natan.6	1	bavli.Berakhot.36	1
ללוי שהיה חברו דיתיב אבראי פי חוץ לישיבה של שאר מתים	bavli.Pesachim.94	1	bavli.Yevamot.242	1
אל מאי טעמ לא סליק אל כל הנך שני דלא עילת למתינתא דר	bavli.Kiddushin.145	1	bavli.Nedarim.161	1
אפס כדאי בכתובו פ הנושא  חזייה דהוה בכי וחייך  אבוה דשמו	bavli.Nedarim.161	1	bavli.Berakhot.127	1
אל מאיטעמ בכית אל דמטא זימנך למיתה ומאי טעמ חייכת	bavli.Kiddushin.145	1	bavli.Nedarim.161	1
דחשיבת כולי האי בעלמא  וזוזי דיתמי זיל שקלינהו כו	yerushalmi.Shabbat.30	1	bavli.Berakhot.10	1
מה היא הנפש ברכי נפשי אתיײי אמ דוד הנפש שנתת	yerushalmi.Shabbat.30	1	tosefta.Zevahim.8	1
בי אין אדם יודע מקומה ואין אדם יודע	midrash.Midrash_Tehillim.103	2	yerushalmi.Gittin.68	1
מקומו של עולם ואפי חיות הקדש שטוענות את כסאו או ברוך	midrash.Midrash_Tehillim.103	4	bavli.Bava_Batra.261	1
כבוד ײ ממקומו  תנא נפש שהיא יחידה שאין אדם ידע את	midrash.Midrash_Tehillim.103	3	midrash.Bereishit_Rabbah.65	2
מקומה ותקלם למקום שהוא יחיד ואין אדם אדע את מקומו	bavli.Pesachim.174	2	bavli.Gittin.33	2
